"Cod.Cliente","Nome Cliente","Cidade","Estado"
"80631","SUPERMERCADO COMETA LTDA","FORTALEZA","CE"
"55928","WMS SUPERMERCADOS DO BRASIL LTDA","SALVADOR","BA"
"55928","WMS SUPERMERCADOS DO BRASIL LTDA","SALVADOR","BA"
"55928","WMS SUPERMERCADOS DO BRASIL LTDA","SALVADOR","BA"
"55928","WMS SUPERMERCADOS DO BRASIL LTDA","SALVADOR","BA"
"79502","SUPERMERCADO VIEIRA DIAS DA SILVA DE BAURU LTDA","DUARTINA","SP"
"79502","SUPERMERCADO VIEIRA DIAS DA SILVA DE BAURU LTDA","DUARTINA","SP"
"79502","SUPERMERCADO VIEIRA DIAS DA SILVA DE BAURU LTDA","DUARTINA","SP"
"79502","SUPERMERCADO VIEIRA DIAS DA SILVA DE BAURU LTDA","DUARTINA","SP"
"79502","SUPERMERCADO VIEIRA DIAS DA SILVA DE BAURU LTDA","DUARTINA","SP"
"79502","SUPERMERCADO VIEIRA DIAS DA SILVA DE BAURU LTDA","DUARTINA","SP"
"79502","SUPERMERCADO VIEIRA DIAS DA SILVA DE BAURU LTDA","DUARTINA","SP"
"79502","SUPERMERCADO VIEIRA DIAS DA SILVA DE BAURU LTDA","DUARTINA","SP"
"79502","SUPERMERCADO VIEIRA DIAS DA SILVA DE BAURU LTDA","DUARTINA","SP"
"79740","SUPERMERCADO JACOMAR LTDA","SAO JOSE DOS PINHAIS","PR"
"31222","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"31222","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"31222","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"31222","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"31222","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"31222","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"31222","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"31222","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"31222","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"31222","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"31222","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"31222","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"31222","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"76506","MATEUS SUPERMERCADOS S.A","RECIFE","PE"
"80515","MERCADO DE GUAPIMIRIM RJ LTDA","GUAPIMIRIM","RJ"
"80515","MERCADO DE GUAPIMIRIM RJ LTDA","GUAPIMIRIM","RJ"
"80515","MERCADO DE GUAPIMIRIM RJ LTDA","GUAPIMIRIM","RJ"
"80515","MERCADO DE GUAPIMIRIM RJ LTDA","GUAPIMIRIM","RJ"
"80515","MERCADO DE GUAPIMIRIM RJ LTDA","GUAPIMIRIM","RJ"
"80515","MERCADO DE GUAPIMIRIM RJ LTDA","GUAPIMIRIM","RJ"
"30253","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"45782","TENDA ATACADO S.A","DIADEMA","SP"
"76863","SENDAS DISTRIBUIDORA S/A","RIO DE JANEIRO","RJ"
"76863","SENDAS DISTRIBUIDORA S/A","RIO DE JANEIRO","RJ"
"80046","FREGUES ALIMENTOS LTDA","LAGARTO","SE"
"78527","SUPERMERCADO TAMI LTDA","GUARULHOS","SP"
"63024","ROLDAO AUTO SERVICO COMERCIO DE ALIMENTOS S.A","FRANCO DA ROCHA","SP"
"60191","SENDAS DISTRIBUIDORA S/A","JUAZEIRO DO NORTE","CE"
"60191","SENDAS DISTRIBUIDORA S/A","JUAZEIRO DO NORTE","CE"
